Gp0,Duration,HR,Meal,Insulin,G
135.496864,15,90,12000,0,5.854570907882012
135.496864,15,120,12000,0,5.680448545914929
135.496864,15,150,12000,0,5.511929268659491
135.496864,30,90,12000,0,5.745930276212943
135.496864,30,120,12000,0,5.395161253230089
135.496864,30,150,12000,0,5.068823989964758
135.496864,45,90,12000,0,5.606800949496528
135.496864,45,120,12000,0,5.081721090762389
135.496864,45,150,24000,0,6.01489199308816
135.496864,60,90,12000,0,5.44242704995772
135.496864,60,120,24000,0,6.176094390752959
135.496864,60,150,24000,0,5.466037045872498
169.37107999999998,15,90,0,0,4.946501049949554
169.37107999999998,15,120,12000,0,6.2820437294962
169.37107999999998,15,150,12000,0,6.090389010369387
169.37107999999998,30,90,12000,0,6.320982893013635
169.37107999999998,30,120,12000,0,5.924782340831807
169.37107999999998,30,150,12000,0,5.554473755230159
169.37107999999998,45,90,12000,0,6.13398424922636
169.37107999999998,45,120,12000,0,5.543162746996986
169.37107999999998,45,150,12000,0,5.014376891257626
169.37107999999998,60,90,12000,0,5.923705963735082
169.37107999999998,60,120,12000,0,5.148307624898976
169.37107999999998,60,150,24000,0,5.822544828307018
203.24529599999997,15,90,0,0,5.575553263065186
203.24529599999997,15,120,0,0,5.375012446881261
203.24529599999997,15,150,0,0,5.180917676426717
203.24529599999997,30,90,0,0,5.344615341777781
203.24529599999997,30,120,0,0,4.952756464506127
203.24529599999997,30,150,12000,0,6.0682870498321755
203.24529599999997,45,90,0,0,5.110459609944981
203.24529599999997,45,120,12000,0,6.032351195748508
203.24529599999997,45,150,12000,0,5.442876778516762
203.24529599999997,60,90,0,0,4.87535053528503
203.24529599999997,60,120,12000,0,5.573420219522833
203.24529599999997,60,150,12000,0,4.837439583054424
237.11951199999996,15,90,0,0,6.2261254042382586
237.11951199999996,15,120,0,0,6.003997675837441
237.11951199999996,15,150,0,0,5.78831611777757
237.11951199999996,30,90,0,0,5.9447388946796496
237.11951199999996,30,120,0,0,5.509390365951128
237.11951199999996,30,150,0,0,5.102899755038974
237.11951199999996,45,90,0,0,5.6609607531193475
237.11951199999996,45,120,0,0,5.027227381856841
237.11951199999996,45,150,12000,0,5.898663954968483
237.11951199999996,60,90,0,0,5.377308165739716
237.11951199999996,60,120,12000,0,6.024899741124431
237.11951199999996,60,150,12000,0,5.213264495636514
270.9937279999999,15,90,0,0,6.895689958036755
270.9937279999999,15,120,0,0,6.653541748421326
270.9937279999999,15,150,0,0,6.417721597882647
270.9937279999999,30,90,0,0,6.566042828733108
270.9937279999999,30,120,0,0,6.089764920622622
270.9937279999999,30,150,0,0,5.642389911307989
270.9937279999999,45,90,0,0,6.2343399645582265
270.9937279999999,45,120,0,0,5.5385976145238205
270.9937279999999,45,150,0,0,4.9135755044419716
270.9937279999999,60,90,0,0,5.903343640746776
270.9937279999999,60,120,0,0,5.009058540482575
270.9937279999999,60,150,12000,0,5.614971179261405
304.86794399999997,15,90,0,0.1,6.97879023211806
304.86794399999997,15,120,0,0,7.321344744331226
304.86794399999997,15,150,0,0,7.066806195621208
304.86794399999997,30,90,0,0,7.20626838523223
304.86794399999997,30,120,0,0,6.69163205296474
304.86794399999997,30,150,0,0,6.20552837278486
304.86794399999997,45,90,0,0,6.828425276293838
304.86794399999997,45,120,0,0,6.073770663323477
304.86794399999997,45,150,0,0,5.390042574963168
304.86794399999997,60,90,0,0,6.451458573004848
304.86794399999997,60,120,0,0,5.477730215397999
304.86794399999997,60,150,12000,0,6.041503526236276
338.7421599999999,15,90,0,0.2,7.019035054364342
338.7421599999999,15,120,0,0.1,7.316584562586491
338.7421599999999,15,150,0,0.1,6.999028136315344
338.7421599999999,30,90,0,0.1,7.1313643537567
338.7421599999999,30,120,0,0,7.312912459702105
338.7421599999999,30,150,0,0,6.790283107076399
338.7421599999999,45,90,0,0.1,6.63593086158821
338.7421599999999,45,120,0,0,6.630848454279589
338.7421599999999,45,150,0,0,5.890742795209529
338.7421599999999,60,90,0,0,7.019758537179015
338.7421599999999,60,120,0,0,5.969934018100225
338.7421599999999,60,150,0,0,5.0566082744201255
372.61637599999995,15,90,0,0.30000000000000004,7.035111422173754
372.61637599999995,15,120,0,0.2,7.266224575359155
372.61637599999995,15,150,0,0.2,6.886189638050971
372.61637599999995,30,90,0,0.2,7.01123952514133
372.61637599999995,30,120,0,0.1,7.080018474297429
372.61637599999995,30,150,0,0,7.391782613882309
372.61637599999995,45,90,0,0.1,7.21415241959734
372.61637599999995,45,120,0,0,7.204811759690261
372.61637599999995,45,150,0,0,6.411477269610522
372.61637599999995,60,90,0,0.1,6.692549330367297
372.61637599999995,60,120,0,0,6.481236259461695
372.61637599999995,60,150,0,0,5.495287452452122
406.4905919999999,15,90,0,0.4000000000000001,7.02992779251071
406.4905919999999,15,120,0,0.30000000000000004,7.194395258199557
406.4905919999999,15,150,0,0.30000000000000004,6.754241488552741
406.4905919999999,30,90,0,0.30000000000000004,6.872039327145223
406.4905919999999,30,120,0,0.2,6.806390083291943
406.4905919999999,30,150,0,0.1,7.0041205063262755
406.4905919999999,45,90,0,0.2,6.9459143146031135
406.4905919999999,45,120,0,0.1,6.765441311555757
406.4905919999999,45,150,0,0,6.949543627148225
406.4905919999999,60,90,0,0.1,7.2366497064404385
406.4905919999999,60,120,0,0,7.008586135456223
406.4905919999999,60,150,0,0,5.953622564417725
440.3648079999999,15,90,0,0.5000000000000001,7.0082911474073875
440.3648079999999,15,120,0,0.4000000000000001,7.106368448815819
440.3648079999999,15,150,0,0.30000000000000004,7.334646013393634
440.3648079999999,30,90,0,0.4000000000000001,6.719067615596962
440.3648079999999,30,120,0,0.2,7.372760829139182
440.3648079999999,30,150,0,0.2,6.586097275251861
440.3648079999999,45,90,0,0.30000000000000004,6.66895846037109
440.3648079999999,45,120,0,0.1,7.311759532939302
440.3648079999999,45,150,0,0.1,6.3189430694340345
440.3648079999999,60,90,0,0.2,6.838996442778107
440.3648079999999,60,120,0,0.1,6.396345556167198
440.3648079999999,60,150,0,0,6.430875331363403
474.23902399999986,15,90,0,0.6000000000000001,6.9731383157646
474.23902399999986,15,120,0,0.5000000000000001,7.005565897877045
474.23902399999986,15,150,0,0.4000000000000001,7.165068823450613
474.23902399999986,30,90,0,0.4000000000000001,7.269038955472772
474.23902399999986,30,120,0,0.30000000000000004,7.0608385390494695
474.23902399999986,30,150,0,0.2,7.123402748605779
474.23902399999986,45,90,0,0.30000000000000004,7.200197804326828
474.23902399999986,45,120,0,0.2,6.807353033823679
474.23902399999986,45,150,0,0.1,6.823551494927454
474.23902399999986,60,90,0,0.2,7.363463127621738
474.23902399999986,60,120,0,0.1,6.892257299405652
474.23902399999986,60,150,0,0,6.925793069921504
508.1132399999999,15,90,0,0.7000000000000001,6.926616192486304
508.1132399999999,15,120,0,0.6000000000000001,6.89438483763537
508.1132399999999,15,150,0,0.5000000000000001,6.9868202834896715
508.1132399999999,30,90,0,0.5000000000000001,7.08468405096584
508.1132399999999,30,120,0,0.4000000000000001,6.746919897364086
508.1132399999999,30,150,0,0.30000000000000004,6.6754651580536954
508.1132399999999,45,90,0,0.4000000000000001,6.891847262084684
508.1132399999999,45,120,0,0.2,7.330558723789643
508.1132399999999,45,150,0,0.1,7.344900119889275
508.1132399999999,60,90,0,0.30000000000000004,6.936651115468726
508.1132399999999,60,120,0,0.2,6.2300005701882455
508.1132399999999,60,150,0,0.1,6.0548759643831005
